exception_id,rule_id,record_id,sensor_id,parameter,unit,station_group,event_date,value_num,failure_reason,severity
EX000093,DQ006,3093,12234784,no2,ppb,current_2025,2025-02-19 21:00:00+00:00,51.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000094,DQ006,3094,12234784,no2,ppb,current_2025,2025-02-19 21:15:00+00:00,65.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000095,DQ006,3095,12234784,no2,ppb,current_2025,2025-02-19 21:30:00+00:00,56.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000096,DQ006,3096,12234784,no2,ppb,current_2025,2025-02-19 21:45:00+00:00,52.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000097,DQ006,3097,12234784,no2,ppb,current_2025,2025-02-19 22:00:00+00:00,58.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000098,DQ006,3098,12234784,no2,ppb,current_2025,2025-02-19 22:15:00+00:00,48.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000099,DQ006,3099,12234784,no2,ppb,current_2025,2025-02-19 22:30:00+00:00,47.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000100,DQ006,3100,12234784,no2,ppb,current_2025,2025-02-19 22:45:00+00:00,35.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000101,DQ006,3101,12234784,no2,ppb,current_2025,2025-02-19 23:00:00+00:00,29.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000102,DQ006,3102,12234784,no2,ppb,current_2025,2025-02-19 23:15:00+00:00,32.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000103,DQ006,3103,12234784,no2,ppb,current_2025,2025-02-19 23:30:00+00:00,26.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000104,DQ006,3104,12234784,no2,ppb,current_2025,2025-02-19 23:45:00+00:00,28.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000105,DQ006,3105,12234784,no2,ppb,current_2025,2025-02-20 00:00:00+00:00,31.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000106,DQ006,3106,12234784,no2,ppb,current_2025,2025-02-20 00:15:00+00:00,40.7,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000107,DQ006,3107,12234784,no2,ppb,current_2025,2025-02-20 00:30:00+00:00,47.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000108,DQ006,3108,12234784,no2,ppb,current_2025,2025-02-20 00:45:00+00:00,39.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000109,DQ006,3109,12234784,no2,ppb,current_2025,2025-02-20 01:00:00+00:00,33.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000110,DQ006,3110,12234784,no2,ppb,current_2025,2025-02-20 01:15:00+00:00,45.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000111,DQ006,3111,12234784,no2,ppb,current_2025,2025-02-20 01:30:00+00:00,45.3,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000112,DQ006,3112,12234784,no2,ppb,current_2025,2025-02-20 01:45:00+00:00,32.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000113,DQ006,3113,12234784,no2,ppb,current_2025,2025-02-20 02:00:00+00:00,38.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000114,DQ006,3114,12234784,no2,ppb,current_2025,2025-02-20 02:15:00+00:00,50.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000115,DQ006,3115,12234784,no2,ppb,current_2025,2025-02-20 02:30:00+00:00,49.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000116,DQ006,3116,12234784,no2,ppb,current_2025,2025-02-20 02:45:00+00:00,53.4,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000117,DQ006,3117,12234784,no2,ppb,current_2025,2025-02-20 03:15:00+00:00,58.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000118,DQ006,3118,12234784,no2,ppb,current_2025,2025-02-20 03:30:00+00:00,61.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000119,DQ006,3119,12234784,no2,ppb,current_2025,2025-02-20 03:45:00+00:00,68.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000120,DQ006,3120,12234784,no2,ppb,current_2025,2025-02-20 04:00:00+00:00,54.1,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000121,DQ006,3121,12234784,no2,ppb,current_2025,2025-02-20 04:15:00+00:00,53.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000122,DQ006,3122,12234784,no2,ppb,current_2025,2025-02-20 04:30:00+00:00,58.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000123,DQ006,3123,12234784,no2,ppb,current_2025,2025-02-20 04:45:00+00:00,40.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000124,DQ006,3124,12234784,no2,ppb,current_2025,2025-02-20 05:00:00+00:00,41.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000125,DQ006,3125,12234784,no2,ppb,current_2025,2025-02-20 05:15:00+00:00,35.2,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000126,DQ006,3126,12234784,no2,ppb,current_2025,2025-02-20 05:30:00+00:00,30.6,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000127,DQ006,3127,12234784,no2,ppb,current_2025,2025-02-20 05:45:00+00:00,28.9,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000128,DQ006,3128,12234784,no2,ppb,current_2025,2025-02-20 06:00:00+00:00,28.5,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
EX000129,DQ006,3129,12234784,no2,ppb,current_2025,2025-02-20 06:15:00+00:00,23.8,Parameter resolves to more than one unit across the dataset (ppb vs µg/m³) without a station/source field to disambiguate,high
